place_id,Classification,Justification
ChIJIUW_Rntr1GoRePjdozrj7nU,Competitor,"The provided images indicate an express tunnel car wash setup, fitting the mandatory criteria. A tunnel structure is clearly visible with entry points marked 'Entry' and automated equipment inside, as demonstrated by images showing brushes and sprayers for exterior cleaning. The presence of a conveyor system is confirmed by visible guide rails in the tunnel and sequential car alignment during operations. The branding prominently includes 'Adore The Car Wash,' suggesting express services. Furthermore, self-serve vacuum stations are visibly available nearby, supporting evidence of an express tunnel model. All criteria have been met, confirming this location as a competitor."
ChIJhwoEOwYliYgRd83W7lLbmwE,Competitor,"The provided images clearly depict an express tunnel car wash operation. The establishment features a long tunnel structure with marked entry and exit points, visible automated equipment like brushes and sprayers in the tunnel interior, confirming its nature as an automated exterior cleaning car wash. The signage prominently displays services such as 'Express Polish' and 'Hot Wax & Polish,' which align with express exterior car wash offerings. Additionally, conveyor tracks are noticeable inside the tunnel, supporting the automated system. The presence of self-service vacuum stations further corroborates the classification as an express tunnel car wash and thus a competitor."
ChIJSVRizA1rRYYRT8p3d0nVflU,Competitor,"The images present clear evidence that the location is equipped with an Express Tunnel Car Wash setup. Specifically, the images show a long and narrow tunnel structure with entry and exit points visible. The interior views of the tunnel demonstrate automated equipment for cleaning vehicles, including brushes, sprayers, and a drying system, along with a conveyor system visible in some images. The branding mentions ""Aladdin Car Wash,"" which supports its purpose aligning with automated exterior car washes. Furthermore, the presence of self-service vacuum stations adjacent to the facility is a common feature for express car wash locations. The criteria for identifying an Express Tunnel Car Wash are fully met, confirming the classification as a competitor."
ChIJFSw4OQBrRYYRCGCOgeXZAqw,Not a Competitor,"The provided image shows a location named 'Ragin' Cajun' with a green roof structure, but there is no visible tunnel structure indicative of an express tunnel car wash. Instead, the premises appear to consist of a large, open parking or working area. There are no clear entry and exit points for a tunnel, nor any additional signs of automated equipment or facilities typical for an express car wash. Consequently, based on the absence of necessary features such as an automated tunnel or conveyor system, it is classified as 'Not a Competitor'."
ChIJrXoDZPR7FocRQX7t5Cao-k8,Not a Competitor,"The provided image does not depict an express tunnel car wash facility. It displays a convenience store and adjacent parking or utility structures. No evidence of a tunnel structure, automated systems, signage indicating an express car wash, vacuum stations, or conveyor systems is visible."
ChIJ4UVStVMi-YYRIu_S4x5m98s,Competitor,"The location exhibits key features of an Express Tunnel Car Wash. The building includes a tunnel structure with a clearly marked 'Entrance' and 'Exit,' which are indicative of a drive-through automated system. Visual observation shows an elongated design suitable for a conveyor-based car wash. The signage refers to automatic cleaning services. Additional vacuum stations adjacent to the tunnel exit align with standard express tunnel operations. Images depicting nearby vehicles do not contradict these defining criteria. Thus, the location meets the criteria for classification as a competitor."
ChIJMeGaIfYi-YYR4D9yWqrkAGU,Not a Competitor,"The provided image shows a location labeled as 'Flores Auto Wash / Repair', which does not appear to feature the tunnel-style structure required for an express tunnel car wash. The building visible in the image does not resemble a long, narrow tunnel with entry and exit points designed for automated exterior car cleaning. Furthermore, there are no visible conveyor systems, signage indicating express or automated services, or vacuum stations typical of express tunnel models. Thus, based on the criteria, this facility does not qualify as an Express Tunnel Car Wash competitor."
ChIJL8A4TXcj-YYRX1OkyKaxi8c,Not a Competitor,"The images depict a self-service car wash setup with individual bays where customers wash their own vehicles using provided equipment. There is no evidence of a tunnel structure, automated cleaning systems, conveyor mechanisms, or branding indicative of an express tunnel car wash. As per the classification criteria, self-service car washes do not qualify as competitors."
ChIJacTqZLR2XIYRJim9_o3j6mA,Not a Competitor,"The provided images show a car wash named 'Water Street Car Wash' consisting of multiple open self-service wash bays and vacuum stations. There are no visible signs of a distinct, long tunnel building or automated equipment typical of an express tunnel car wash. Manual washing is being conducted by individuals, which further confirms it does not qualify as an express tunnel model. While the location does offer self-service options and vacuum stations, these do not meet the criteria for classification as a competitor under the express tunnel requirements."
ChIJO_25tLN2XIYRQxTC4LN8R2Y,Not a Competitor,"The images depict a location associated with H-E-B Fuel and H-E-B branding, prominently featuring fuel stations and convenience services such as ice and water vending machines. The identified 'H-E-B Car Wash' building does not display characteristics of an Express Tunnel Car Wash, as it lacks visible tunnel structures with entry and exit points, automated conveyor systems, or equipment typical of an Express Tunnel. The car wash appears small and does not suggest an automated, drive-through express system. Hence, it does not align with the criteria for an Express Tunnel Car Wash competitor."
ChIJBfzxYbJ2XIYRdcgbg5CP_Is,Not a Competitor,"The provided image depicts a small structure labeled 'H-E-B Car Wash' which lacks visible features of a typical express tunnel car wash. The building does not appear lengthy enough to accommodate an automated tunnel structure (minimum 34 feet), nor are entrance and exit points with signage or tunnel automation equipment visible. Based on these observations, this location does not meet the criteria for an express tunnel car wash competitor."
ChIJ-cik9bJ2XIYRgMQyUxZyGJ4,Not a Competitor,"Based on the images provided, the location appears to be a Shell gas station with a small adjacent structure labeled 'Car Wash.' However, there are no visible signs of a tunnel structure with clearly marked entry and exit points suitable for automated car washing. Also, there are no discernible features such as guide rails, tracks, or automated equipment indicative of an Express Tunnel Car Wash setup. The car wash seems to cater to individual vehicles and lacks the characteristics of handling a continuous sequence of cars in a conveyorized manner. Therefore, this location does not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJm7VrViz_bYgR7KdQZHRymS0,Not a Competitor,"The images depict a car wash location with self-service bays rather than an express tunnel system. There is no visible long tunnel structure with entry and exit points, nor any indications of automated external cleaning equipment or a conveyor system. Instead, the facility appears to cater to self-service washing with individual bays where customers manually wash their vehicles. Hence, this location does not meet the criteria for an 'Express Tunnel Car Wash.'"
ChIJ511Nshb_bYgRqp5ByWI_C3U,Competitor,"The images confirm the presence of an express tunnel car wash. The sign indicates 'Soft Touch Automatic' and 'Touchless Automatic' services, which suggest exterior automated washing. There is a clear tunnel-like structure visible in the images, with entry and exit points confirming the automated tunnel setup. The interior image of the tunnel displays automated equipment such as spray systems and drying mechanisms, corroborating the classification. The business does not seem to be primarily focused on manual or self-service washing, nor does it offer services exclusively for full-service interior detailing, thus meeting the criteria for a competitor."
ChIJazek1p__bYgRnDd05PzqAuk,Not a Competitor,"The provided image does not explicitly display any features resembling an express tunnel car wash structure. There is no visible long or narrow building characteristic of a car wash tunnel, nor are there discernible entry and exit points. No conveyor system or automated washing equipment is apparent, and no signage indicating express tunnel services is visible. Based on these observations, the location does not meet the criteria for classification as an express tunnel car wash competitor."
ChIJA13FaQr_bYgRtTrcIZwgEwg,Competitor,"The location features a long tunnel-like structure with clearly identifiable entry and exit points, suggesting an automated wash process typical of express tunnel car washes. Additionally, the nearby vacuum stations support the classification as an Express Tunnel Car Wash competitor based on common industry practices."
ChIJD3tcN81mXIYRE7hnmLQPjg0,Not a Competitor,"The provided images showcase a Circle K convenience store with a parking area visible nearby. There is no evidence of an automated tunnel structure suitable for an express car wash. The images focused on the store interior, exterior branding, and an air/water station, none of which indicate the presence of car wash facilities. Absent are tunnel specifics such as entry and exit points, conveyor systems, or relevant signage promoting express tunnel car wash services. Based on this lack of qualifying features, the location does not meet the criteria for classification as an Express Tunnel Car Wash competitor."
ChIJRQhvCHtnXIYReMoMuQehkT4,Not a Competitor,"The image shows a convenience store setup with a gas station, possibly Circle K. There is an adjacent structure that might be for washing vehicles but lacks visible features of an express tunnel car wash such as a defined, automated tunnel system, clear enter and exit signage, or conveyor tracks. It does not demonstrate the criteria for being an express tunnel car wash."
ChIJ5_augSZhXIYRZEGRdLb6h0Q,Not a Competitor,"Based on the images provided, this location does not appear to include an automated express tunnel car wash. The satellite view shows a building adjacent to a Shell gas station, but there is no clear evidence of a tunnel structure suitable for an express car wash service. Additionally, the visible signage and facilities indicate a focus on fueling and convenience store services rather than a specialized automated car wash operation. Thus, this location does not meet the criteria for classification as a competitor."
ChIJE7o5Hm-NXIYR_B5IMiWXQXY,Competitor,"The images indicate a car wash facility with a prominent tunnel structure visible in the third image. The tunnel entrance and exit are clearly marked on the building. Furthermore, the signage prominently includes 'Express Car Wash' which is a strong indicator of an automated express tunnel facility. There are no visible indicators of manual service in the tunnel area, suggesting the use of a conveyor system for automated exterior cleaning. The first image shows adjacent vacuum stations, which support the classification as an express tunnel car wash. Based on these observations, this location adheres to the criteria of being an Express Tunnel Car Wash."
ChIJYc2fECleXIYR0UkTvjq7fnM,Not a Competitor,"The provided images depict a Shell gas station with an adjacent convenience store and premises hosting other businesses such as a restaurant. Although a 'Car Wash Temporarily Closed' sign is visible in the satellite view, there are no discernible features indicating an express car wash tunnel structure or automated exterior cleaning equipment. The location does not appear to meet the criteria for an Express Tunnel Car Wash as the images lack evidence of a long tunnel building with entry and exit points, conveyor systems, or signage promoting automated car wash services."
ChIJxUNJGileXIYRCYAYcZYTKAA,Not a Competitor,The provided image does not clearly display a long tunnel structure or automated equipment typical of an express tunnel car wash. The location labeled 'Car Wash Temporarily Closed' appears small and lacks visible entry/exit features or additional infrastructure supporting a conveyorized washing system. No discernible signage or features strongly indicative of an express operation are visible in the image either.
ChIJaY1q5dJfXIYR-CM90J7hZ_U,Not a Competitor,"Based on the provided images, the location does not feature an Express Tunnel Car Wash. It includes self-service equipment such as coin-operated machines, vacuum stations, and manual car care vending. The building does not display a discernible tunnel structure suitable for automated vehicle exterior cleaning, nor are there signs of automated systems or conveyorized operations. This location primarily supports self-service activities, falling outside the criteria for an Express Tunnel Car Wash competitor."
ChIJf15zE1hVNIgR8mh_aR7pIIg,Competitor,"The provided images show a car wash location with clear characteristics of an Express Tunnel Car Wash. Visible features include a tunnel structure with defined entry and exit points, labeled as 'Enter' and equipped with automated washing equipment. The tunnel's substantial length meets the requirements for automated cleaning of vehicles. The business branding suggests express services as 'Free Vacuum' is promoted and self-serve vacuums are present, which are typical of express models. Additionally, no evidence of manual washing or interior cleaning services is observed in the tunnel area. These details strongly indicate that the car wash conforms to the 'Express Tunnel Car Wash' model, classifying it as a competitor."
ChIJH72PCoBUNIgRXEHBLByv-Lo,Competitor,"The Central Car Wash location features an automated touchless car wash system as indicated by the 'Automatic Touchless' signage and images showing the interior of fully automated bays where cars are being cleaned. Cars progress through in a conveyor-style system within the tunnel bays. While branding emphasizes 'Touchless,' it aligns with the typical express tunnel model due to its focus on exterior car cleaning. This establishment meets the express tunnel criteria for competitors through its automated exterior cleaning service."
ChIJz5uvV4lUNIgR-RzbS_OI6UM,Not a Competitor,"The images depict a Sheetz convenience store with associated gas station facilities. While one image shows a structure resembling a tunnel, additional verification of its purpose is necessary. The images lack any signage or branding explicitly indicating an automated express tunnel car wash system. The interior photos focus on the store operations and food offerings, without evidence of car wash equipment or setup. Based on the provided information, this location does not meet the criteria for classification as an express tunnel car wash competitor."
ChIJsUiGqfrzzIkRlEx4ajv72so,Competitor,"The images provided show a facility clearly structured as an Express Tunnel Car Wash. The first satellite and exterior images showcase a long building with designated entry ('Enter') and exit points, which align with the tunnel structure characteristic. Interior views demonstrate automated equipment and conveyor systems actively processing a vehicle, strongly indicating automated operations typical for an express car wash where customers remain inside their vehicles. Additionally, the presence of adjacent vacuum stations further supports the classification, reinforcing the site's standard layout for express services. All observed features align with the criteria for an Express Tunnel Car Wash competitor."
ChIJJ5EO6u_zzIkRmJAw1I8la10,Not a Competitor,"The provided images depict a Sheetz convenience store location, focusing on fuel sales and food services. There is no visible evidence of an express tunnel car wash structure or related facilities such as entry/exit points, automated equipment, or conveyor systems. The location predominantly offers restaurant and convenience store services."
ChIJwyJUQeLzzIkRr4gQ2EUk9gs,Not a Competitor,"The provided images show a facility labeled as 'Your Favorite Car Wash,' which features self-service touchless wash bays but no evidence of a conventional express tunnel. The structure visible includes individual automated bays for vehicle washing, equipped with touchless technology, but lacks centralized tunnels with conveyorized systems or drive-through characteristics typical of express tunnel car washes. Additionally, the images do not show extensive automated equipment for cleaning in a tunnel setup or vacuum stations indicative of an express model. Therefore, this location does not meet the criteria for classification as an 'Express Tunnel Car Wash' competitor."
ChIJDyFk3AD0zIkRdRwwrmsoVCQ,Not a Competitor,"The provided images primarily display aspects of a convenience store and fueling station, with no evidence of an automated express tunnel car wash. The images lack indications of a tunnel structure, conveyor system, or drive-through experience typical of an express tunnel car wash model. Signage does not suggest car wash services, and the location appears focused on retail and food services instead of car washing. Therefore, this location does not meet the criteria for classification as a competitor."
ChIJpRpFqeKTNIgR5PJTuoc9bRU,Error,Classification failed or returned no result.
ChIJ7ykKwGKTNIgR_g_9UGfg2_U,Not a Competitor,"The images provided largely depict a gas station and convenience store setup under the Sheetz brand. While there is a possible inclusion of a car wash, there is no clear evidence of an express tunnel car wash structure meeting the criteria specified. The visible facilities lack the mandatory tunnel structure characteristic of automated express tunnel car washes that competitors would have, such as a long, narrow tunnel with entry and exit points or a conveyor system. Furthermore, the imagery focuses on the retail and fueling aspect, not a dedicated express car wash operation. Thus, this location cannot be classified as a competitor."
ChIJE-31X6URy4kReDc5QyV1K_U,Competitor,"Based on the provided images and analysis: - The facility displays a clearly defined tunnel structure with automated washing equipment visible inside, strongly characteristic of an Express Tunnel Car Wash model. - Interior images reveal equipment including conveyor systems, brushes, and sprayers, confirming automation. - Signage indicates 'Free Vacuum,' a common offering at Express Tunnel Car Wash setups, with vacuum stations visibly arranged near the exit. - Customers appear to remain in their vehicles during the washing process. There is no evidence of manual exterior vehicle cleaning inside the tunnel. - The business branding as 'Auto Spa' aligns with express washing functionality. The location fulfills the competitor classification criteria as an Express Tunnel Car Wash."
ChIJp7nnyEYQy4kR86FOs6lARX4,Not a Competitor,"The provided images include an aerial view of a facility labeled 'Clean Water Car Wash' and other pictures depicting surrounding landscapes and sunsets. The aerial image shows a red-roofed building with a paved area featuring vacuum stations, but there is no clear evidence of a tunnel structure, entrance/exit points, or automated conveyor systems typical of an express tunnel car wash. The visible setup aligns more with a self-service or manual car wash model rather than an automated tunnel one. Therefore, this location does not fulfill the criteria to be classified as an Express Tunnel Car Wash competitor."
ChIJgRSGCBMQy4kRK_SxDYFAt9s,Not a Competitor,"The provided images depict a Sheetz convenience store with a fuel station and retail area. While the first image shows a canopy structure, it does not exhibit the characteristics of an express tunnel car wash, such as a long, narrow tunnel with vehicle entry and exit points or automated cleaning equipment. The other images focus on the interior of the convenience store and food offerings, rather than car wash facilities. Therefore, the location does not meet the criteria for an express tunnel car wash."
ChIJfWxWTk4Qy4kR01A5ylpewjg,Competitor,"The provided images depict a car wash that unmistakably adheres to the express tunnel model. Evidence includes the presence of a designated entry and exit point for vehicles in a straight-line tunnel configuration, equipped with automated washing equipment such as brushes, sprayers, and dryers. Signage confirms the facility operates as 'Follow Charlie Car Wash,' with no visible manual exterior cleaning services confirmed during the wash process. No evidence of interior detailing operations during the tunnel cycle was noted, which supports customer drive-through experience. Lastly, guide rails visible inside the tunnel further suggest the use of conveyor systems indicative of express tunnel setups. Vacuum stations are not shown, but their absence does not detract from the classification as a Competitor under the described criteria."
ChIJoQiaRGsPy4kR9DVRRKMxcQM,Not a Competitor,"Based on the provided images, the location in question appears to be a Sheetz convenience store with petrol fueling stations and no visible car wash tunnel structure or any other automated car wash facilities indicative of an express tunnel system. There are no signs of a conveyor system, visible entry/exit points for a car wash tunnel, or any branding related to car wash services. Therefore, it does not meet the criteria for classification as a competitor."
ChIJvRbg2TjuNIgRavR0ZpcAtTc,Competitor,"The provided images clearly indicate that the location features an Express Tunnel Car Wash. It has a distinct tunnel structure with labeled 'Enter' signage visible at the entry point, suggesting a defined tunnel entrance and automated experience segment. The presence of numerous cars lining up to utilize the facility indicates a conveyorized system. Self-serve vacuum stations are situated nearby the main building, which further aligns with the characteristics of an express car wash model. Additional signage and architecture demonstrate that the primary operation is automated and focused on exterior cleaning, confirming its classification as a competitor."
ChIJsR6TUAXvNIgR0UZ9khwfc14,Competitor,"The provided images indicate a car wash facility named 'Sweet Pea's Wash Works' with features meeting the classification criteria for an Express Tunnel Car Wash. The aerial view shows a structure resembling a tunnel with entry and exit points suitable for automated vehicle cleaning. The surrounding area includes parking and appears optimized for customer movement, aligning with express tunnel setups. Additionally, the branding suggests car cleaning services focused on an automated process. No counter-evidence excluding it from being classified as a competitor was visible."
ChIJ9YTaCEoTNYgR6s2cVBg43NU,Competitor,"The provided images depict a car wash facility with visible signage indicating 'Royal Treatment' and 'Free Vacuum,' which align with characteristics of express tunnel car washes. Although the building and vacuum stations are observable, the visual evidence does not clearly verify a conventional tunnel structure featuring automated equipment as specified in the criteria. However, overall branding and operational appearance suggest that it fits the business model of an Express Tunnel Car Wash."
ChIJZQNuR4wVNYgR9STXh9N6J9s,Not a Competitor,"The images provided depict a Sheetz convenience store and gas station. There are no visible structures resembling an express tunnel car wash, such as a long narrow building with automated equipment for exterior car cleaning. The images instead focus on the fueling area, the interior retail space, and general storefront views. Additionally, there is no discernible signage indicating the presence of an express tunnel car wash, nor is there any imagery showing vacuum stations or other features characteristic of express tunnel car washes. Therefore, based on the classification criteria, this location does not qualify as an express tunnel car wash competitor."
ChIJB3O0jvoFkFQRyut0rxNZAME,Not a Competitor,"The provided images show a car wash setup where the active cleaning is performed by an automated system called 'Laserwash.' Unlike express tunnel systems, the vehicles are stationary during the washing process rather than being conveyed on a conveyor system through a tunnel. The system uses touchless techniques, evident by the branding and absence of physical brushes. Additionally, the facility lacks a long tunnel structure indicative of an express tunnel setup. While the location has vacuum stations nearby, these are supplementary and do not influence the classification as an express tunnel car wash."
ChIJwb6z5-EPkFQRH6ETT2X0KCw,Competitor,"The location shows all the features of an Express Tunnel Car Wash. The long tunnel structure with identifiable entrance and exit points is visible in the images, suggesting automated exterior cleaning of vehicles. The process is likely automated as inferred from the equipment visible inside the tunnel and signage indicating phases of washing. Additional features include the presence of organized vacuum stations adjacent to the tunnel exit, typically associated with such services. Branding primarily focuses on express services without indications of full detailing. Thus, this location qualifies as a competitor under the given criteria."
ChIJteeGJYAOkFQRtaiB1auvKZw,Not a Competitor,"The provided images do not show any discernible express tunnel car wash structures or features. The location appears to be a convenience store and gas station based on visible branding and layout. Additionally, there are no visible signs of automated car washing equipment or a tunnel structure that fits the described criteria for an Express Tunnel Car Wash competitor."
ChIJc87kJoAOkFQRzxxKlB5-i7k,Not a Competitor,"The provided images show a Shell gas station and convenience store location with an apparent small car wash setup adjacent to the food store. However, the visible structure does not indicate the presence of an express tunnel car wash. It lacks the long, narrow tunnel structure needed for a conveyor-based automated wash system. No entry or exit points specific to an automated express car wash are visible, nor is there observable signage suggesting such a service at this location. As a result, this facility does not meet the criteria for classification as a competitor Express Tunnel Car Wash."
ChIJW2HJuGMDkFQR76aEabvrELk,Not a Competitor,"The images provided do not show any features that would classify the location as an Express Tunnel Car Wash. Specifically, there are no visible tunnel structures with automated equipment, entry/exit points, or conveyor systems. Furthermore, the focus seems to be on manual detailing and washing services performed outdoors or indoors without associated automated tunnel infrastructure. There is no signage or branding indicative of an Express Tunnel Car Wash."
ChIJzeK9WO5g2YAR66O2jEv65Zc,Not a Competitor,"The images provided depict a Shell gas station. While a small structure is visible near the gas station, it does not resemble a long tunnel structure required for an Express Tunnel Car Wash. There is no evident automated conveyor system or clear entry/exit points for cars to pass through continuously in a straight line. Furthermore, no branding or signage indicative of an Express Tunnel Car Wash is visible. The facilities appear to be focusing on fuel services rather than automated car washing."
ChIJ1bORfdcpTIYRFZRCaZ80dYw,Competitor,"The provided images clearly depict an automated express tunnel car wash setup. The site features a long tunnel structure designed for exterior vehicle washing, visible automated washing equipment within the tunnel such as rollers and brushes, and a conveyor system for moving cars through the cleaning process. Customers appear to remain in their vehicles throughout the wash operation, solidifying the drive-through experience criteria. The branding prominently includes 'Alpine Wash,' visually confirming it as a dedicated car wash location. Additionally, the facility has self-serve vacuum stations nearby, supporting its classification as a competitor."
ChIJ87Qwl0UpTIYRL1GKiQlviM4,Not a Competitor,"The provided images depict a facility with self-service car wash bays where customers manually clean their vehicles using equipment controlled by coin-operated systems. There is no evidence of an automated express tunnel car wash structure present at the location. The facility is not equipped for conveyor-based automated exterior cleaning, nor does it feature a tunnel with entry and exit points or branding indicative of an express tunnel model. Therefore, it does not meet the criteria for classification as a competitor."
