full_site_address,Latitude,Longitude,total_precipitation_mm,rainy_days,total_snowfall_cm,snowy_days,days_below_freezing,total_sunshine_hours,days_pleasant_temp,avg_daily_max_windspeed_ms
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,1319.41,121.6,17.409,10,49.1,3163.83829694444,126.1,15.496726251965
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,326.92,48.1,23.555,13.6,59.6,3751.91870083333,131.4,24.5658020061382
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,1347.06,118.1,4.382,1.5,12.3,3207.53625027778,140.2,16.9007478104649
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,1314.13,139.4,0.371,0.1,3.3,3385.14440111111,166.1,19.3680150460364
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,1408.98,130.8,2.135,1.5,23.1,3244.37197888889,151.6,14.4838500636275
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,234.58,43.2,30.408,19,76.1,3815.4837075,113,21.1649679616738
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,280.43,60.7,75.096,42.4,199.7,3846.62031361111,106.2,17.3418353170148
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,431.19,57.5,8.561,4.2,29.3,3649.91054861111,130.4,24.7637534246575
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,983.44,114.3,1.897,1.2,7.8,3223.33147194444,161.5,18.3089280634778
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,1169.61,118.5,25.095,17.4,71.7,3092.55043416667,126.8,17.722312149113
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,1273.25,151.6,59.269,38,87.1,2863.06917555556,142.9,16.0559015644884
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,1271.81,158.9,101.458,57.7,108,2779.72957944444,137.1,17.8153015195748
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,1334.77,153.9,62.279,40.2,83.3,2839.51486,142.4,15.9683312373681
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,1205.49,161.5,110.915,58.5,114.6,2829.95627611111,137.3,18.6590098061232
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,1304.18,153.7,59.297,37.6,83.2,2845.20343833333,142,16.3401735908376
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,1361.33,161.2,61.761,40,86.3,2853.34882472222,150.2,15.7211013548918
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,770.51,88.8,50.799,26.2,103.3,3287.51508,115.1,22.6452405120144
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,1278.87,127.5,8.092,3.8,34.1,3195.19602194444,141.9,16.5377664495846
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,1482.88,135.8,5.453,3.1,29.5,3179.5493925,148.2,15.239779923647
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,1157.79,126.8,58.702,24.6,89.6,2959.82687083333,129.7,16.6981768844973
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,1211.86,123.5,16.296,6.1,40.2,3152.46222944444,139.3,15.4863053372258
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,1088.03,104,36.624,18,78.3,3186.95130722222,119.8,19.1754408264092
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,1317.63,124.1,0.462,0.4,14.2,3282.35509055556,153.4,14.9060667714649
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,1543.58,165.6,0,0,0.2,3441.96114972222,170.5,16.2984438206453
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,269.99,53.7,51.723,31.1,124.7,3807.85329305556,114.7,20.9023551164009
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,1447.85,124.3,2.793,1.1,12,3186.26216277778,146.2,15.2462050303166
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,80.4,13.8,0,0,0.1,3963.01759194444,137.8,17.1374099109215
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,1219.1,125.7,124.25,38.5,110.9,2934.81867833333,119.7,17.0778559772438
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,1080.27,107.5,2.695,1.6,9.6,3256.59837972222,137.3,20.8584900815929
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,1358,139.7,0.406,0.1,6,3369.88268638889,169,16.352365820795
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,1258.29,144.7,0,0,0.9,3497.53294444444,170.8,16.7264214387304
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,1551.66,138.8,2.604,1.3,27.6,3182.01288472222,160.9,16.2074603637997
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,1529.34,141.9,5.488,2.9,29,3152.92086805556,159.7,15.4207505052773
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,1247.22,149.2,0,0,0.7,3435.11555722222,169.5,17.0704599895202
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,1491.44,128.4,6.559,2.7,27.1,3206.39412861111,147.7,13.9337335878434
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,1531.39,140.2,5.544,3.1,29,3162.00160583333,156.7,15.4779858522344
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,1558.55,140,5.495,2.9,28.1,3155.23317055556,158,16.1799581555506
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,1249.01,139,33.544,19.7,61.6,3070.27014027778,153.1,15.1096436859046
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,1256.3,127.1,0.329,0.5,15.9,3241.83108722222,155.1,14.0604871622127
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,1337.68,132.6,0.511,0.6,18.8,3197.2266925,154.7,14.4154105846246
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,1429.74,136,0.882,1,22.4,3175.37606333333,155.1,14.9676001946253
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,1342.17,123,1.127,0.7,16.5,3298.88367638889,146,14.8652117673479
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,1310.49,131.5,0.637,0.4,13,3274.99444944444,157.2,15.029352795868
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,1229.4,148.2,0,0,2,3416.10103083333,171.3,16.9967091848192
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,1186.25,125.5,0.21,0.3,8.4,3326.61367472222,154.7,17.92211655064
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,1860.16,159.9,1.022,0.7,4.8,3151.52976944444,155.5,15.4840031439479
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,1390.45,135.8,0.987,1,23.1,3195.11240388889,156.4,15.1007913017441
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,1486.61,136.7,5.341,3.1,27.7,3133.44657555556,154.1,15.4069869002171
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,1872.66,164.7,0.616,0.6,3.5,3213.85448694444,158.6,19.8739572572797
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,538.86,61.1,1.393,0.8,2.8,3425.850315,130.3,21.1588991690995
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,1130.75,119.4,1.225,0.9,5.9,3169.17208694444,146.3,19.5487110562168
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,1750.34,152.9,1.001,0.6,4.8,3142.68272222222,152.1,16.1909112208998
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,508.2,65.6,1.939,1.1,3.3,3442.64681194444,132.1,23.4164190433416
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,1975.95,165.7,0.959,0.5,3.7,3149.80325916667,157.5,17.5954995134366
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,1942,165.4,0.63,0.6,2.9,3252.41236277778,159,20.124419492477
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,1613.83,139.6,1.484,1,5.4,3183.1046975,148.3,17.7023776480275
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",30.2423772,-94.196705,1860.16,159.9,1.022,0.7,4.6,3151.52976944444,155.5,15.4840031439479
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",30.3886464,-95.6805365,1480.26,138.8,1.617,0.7,5.6,3145.92319722222,151.7,16.052486937645
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",26.2440893,-98.4418103,633.26,78.5,0.119,0.2,0.8,3459.50686722222,116.1,24.3932612470993
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",26.3442811,-98.7440723,575.1,72.9,0.189,0.3,0.9,3476.69756472222,110.6,24.5015324500337
"Bryant - N Reynolds Rd , 2116 N Reynolds Rd , Bryant , AR , 72022",34.6140151,-92.4977299,1366.99,121.2,7.609,4.8,31.7,3172.49232361111,128.9,15.0237855378397
"Buff It #2 , 1699 Stick Ross Mountain Rd , Tahlequah , OK , 74464",35.8919067,-94.9858551,1251.74,106.9,12.201,7.7,43.1,3199.22522305556,120.2,15.8444767572423
"Buff It Auto Wash , 1408 E Wade Watts Ave , McAlester , OK , 74501",34.9237442,-95.751091,1155.97,102.5,8.883,5.9,31.4,3256.98000888889,121.7,17.9215468223669
"Bulldog Car Wash , 2920 Atlanta Hwy , Athens , GA , 30606",33.9453994,-83.4395095,1370.42,131,2.45,1.7,23,3199.17464777778,148.2,14.5448118122614
"Burlington , 3155 E Agency St , Burlington , IA , 52601",40.8142028,-91.1381794,965.38,109.5,51.548,28.2,99.6,3084.01860861111,122.6,19.8925134366345
"Buster's Car Wash , 2409 Route 9 , Malta , NY , 12020",42.9635835,-73.7908461,1159.18,131.3,109.13,46,121,2939.32139333333,128.2,15.7143947151733
"CHAGRIN AUTO SPA , 8327 E Washington St , Chagrin Falls , OH , 44023",41.4140899,-81.344812,1229.29,164.4,114.366,61.5,103.3,2864.25876361111,141.1,17.8470669211767
"Cabot - Willie Ray Dr , 210 Willie Ray Dr , Cabot , AR , 72023",34.9816958,-92.0354003,1375.77,121.1,6.986,5.3,33,3182.89399777778,126.4,14.8793085560296
"Cajun Clean , 2240 Denny Ave , Pascagoula , MS , 39567",30.3703765,-88.5403641,1657.04,152.2,0.259,0.3,3.2,3344.40014416667,163.6,18.4610290440901
"Cajun Clean Gautier , 2235 US-90 , Gautier , MS , 39553",30.3903613,-88.6456867,1650.73,154.1,0.259,0.2,3.7,3331.57501055556,164.1,18.7726751253836
"Calhoun , 460 Hwy 53 , Calhoun , GA , 30701",34.4761289,-84.9279642,1433.62,133,5.404,3.2,35.6,3164.88329305556,147.7,14.4721044239838
"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",28.83717,-82.3558067,1317.03,150.7,0,0,1,3461.43045361111,172.1,16.3215442772663
"Canon City , 3110 E Main St , Canon City , CO , 81212",38.4465114,-105.1920275,371.01,64.5,74.781,38.2,127.9,3750.36037638889,121.8,19.0616977318662
"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",44.3818768,-100.3122439,492.46,71.8,71.554,37.4,142,3330.25774416667,107.2,24.8024423983831
"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",30.8937579,-102.9062363,263.91,44.9,7.161,3.4,15.6,3759.22364805556,139.1,25.8716656935399
"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",32.9118499,-96.4511337,1391.93,114.7,2.968,2.3,15.2,3209.94427416667,134.1,21.8130398233401
"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",34.2071766,-84.8163398,1482.88,135.8,5.453,3.1,28.8,3179.5493925,148.2,15.239779923647
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,1482.88,135.8,5.453,3.1,29.5,3179.5493925,148.2,15.239779923647
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,1336.65,151,0,0,1.8,3421.39977666667,180.6,18.3008821768096
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,1422.72,137.9,4.893,2.8,27.8,3193.03543944445,150.9,14.5933340818924
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,1771.57,147.1,14.315,9,39.9,3068.14213916667,133.1,14.6832306310353
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,1764.96,147.9,14.728,10,43.7,3046.73189055556,133.2,14.5972418594206
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,1581.69,141.3,16.429,10.4,47.9,3085.53826555556,135.9,14.8469997005764
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,1278.24,125.9,7.049,4.1,31.9,3194.69091694444,147.3,16.2131746388203
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,1085.54,121.5,1.47,1.2,6.3,3213.25791,155.6,17.8475231679018
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,886.25,86.1,14.07,8.1,42.5,3406.34780722222,114.4,21.4018910098061
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,1448.6,134,15.491,10.1,47.6,3106.75364722222,132.3,14.8115457743843
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,1236.24,137.1,132.769,56.7,131.7,2881.33088722222,127.5,15.9565116400928
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,431,82.6,120.372,61.3,141.6,3572.85437916667,117.8,27.8258777603114
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,1102.71,99.6,3.199,2.7,14.6,3312.9096425,139.5,20.4093639493974
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,1063.32,97.3,2.912,2.9,15.7,3341.80742416667,141.5,22.0665574519051
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,1573.71,141.5,1.337,1,4,3157.97244416667,150.9,16.2192151358635
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,1846.01,159.5,1.001,0.5,4.8,3166.70788916667,154.5,19.0096015420316
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,1580.65,149.1,1.204,0.7,5.7,3136.87014833333,153.7,15.6134423983831
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,1604.26,145.5,1.309,0.9,5.3,3144.42343833333,154.5,16.2654623100532
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,844.32,120.3,100.492,58.2,123.8,2924.18914416667,122.1,20.5052035331986
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,839.67,119.4,101.108,59.5,122,2916.1883175,120.2,20.8187426454076
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,881.62,124.8,120.148,71.7,134.3,2841.93027611111,119,18.494288344936
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,881.62,124.8,120.148,71.7,133.7,2841.93027611111,118.4,18.494288344936
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,1539.89,139.7,1.106,0.7,14.6,3343.60639861111,163.3,19.1197866606782
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,1364.72,121.3,7.245,4.6,35.3,3200.82877638889,127.3,14.7737311175986
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,265.96,47.9,31.164,19.1,82.7,3824.32967888889,114,21.9420126506475
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,1382.31,130.9,7.616,4.3,33,3165.44611722222,132.9,14.9300443146942
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,1346.48,122.9,9.303,6.5,38.7,3187.28539361111,131.5,16.6576635975747
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,1131.06,121.3,0.364,0.4,13.8,3297.97635722222,149.8,15.7598998428026
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,1033.09,141.3,101.773,60.8,108.8,2879.18541583333,132.7,20.1894825211468
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,1374.96,144.8,34.965,20.3,52.1,3108.55674194444,153,14.8097549217756
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,1147.81,134.1,86.695,41.2,110.4,2956.74945972222,133.8,15.7576996781196
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,1381.87,152.1,0,0,0.1,3573.99342027778,162,17.6680899767947
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,291.34,59.4,70.7,40.1,137.3,3751.06727333333,114.1,13.8216291638596
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,1409.84,134.5,1.183,1.1,14.4,3304.50262805556,156,18.2886701100382
"Detricks Glenforest , 1036 Glenforest Rd , Myrtle Beach , SC , 29579",33.7547775,-78.9635923,1466.59,141.1,0.679,0.8,12.6,3344.21233444444,162,17.026117299199
"Diamond Express , 1801 Lander Ave , Turlock , CA , 95380",37.475985,-120.8494004,440.65,47.9,0.203,0.5,4.2,3714.56115916667,126.7,14.7152965042294
"Dickys Bluffton , 1930 N Main St , Bluffton , IN , 46714",40.7705245,-85.166528,1022.67,128.5,54.068,35.4,96.9,2944.57217916667,138,21.859746912194
"Dickys Decatur , 1022 S 13th St , Decatur , IN , 46733",40.818633,-84.939277,1016.93,127.1,53.669,34.6,96.4,2948.83770888889,137.8,21.8223051126581
"Dickys Huntington , 2600 Walmart Dr , Huntington , IN , 46750",40.898213,-85.5135535,991.9,126.5,56.539,35.8,99,2945.37918583333,137.7,21.0856623250243
"Dog House Auto Spa , 731 W Rogers Blvd , Skiatook , OK , 74070",36.3682186,-96.0117013,1137.87,101.8,11.466,7.2,44.3,3260.94973805556,114.8,17.8325141103376
"EXPRESS AUTO WASH , 7167 NY-54 , Bath , NY , 14810",42.3490756,-77.3089603,1006.79,142.4,110.719,68,115.7,2814.53278555556,132.1,17.0514266786436
"Eastlake , 13509 Eastlake Blvd , El Paso , TX , 79928",31.6986017,-106.2213483,206.1,33.3,5.418,3.8,27.6,3885.52476111111,126.5,23.0129397409986
"Edge Express Garner , 4717 NC-42 , Garner , NC , 27529",35.6108709,-78.5531604,1300.34,126,9.415,4.3,29.5,3196.76157805556,143.3,16.0423716595554
"Edge Express Shelby , 925 E Dixon Blvd , Shelby , NC , 28152",35.2744626,-81.5270426,1212.41,121.6,11.277,4,37,3220.73348944445,139.9,14.2486699603264
"Edge Express Shelby 2 , 1696 E Dixon Blvd , Shelby , NC , 28152",35.2728672,-81.5051658,1212.41,121.6,11.277,4,38.5,3220.73348944445,141.9,14.2486699603264
"Edgewood , 3 NM Hwy 344 , Edgewood , NM , 87015",35.1482669,-106.1914196,330.05,61.3,59.003,28.5,118.3,3833.50957305556,142.3,20.8904949472266
"Elks Edge , 547 CC Camp Rd , Elkin , NC , 28621",36.2787554,-80.8330241,1226.61,122.6,20.223,8.6,54.9,3178.72271472222,146.7,13.2860215584999
"Espanola , 1319 N Riverside Dr , Espanola , NM , 87532",36.0111124,-106.0636052,250.3,50.7,50.127,28.1,116,3845.11869416667,132.5,19.0438330713377
"Express Wash Kissimmee , 1095 Amber Pointe Blvd , Kissimmee , FL , 34744",28.280829,-81.344289,1527.36,163.2,0,0,0.2,3435.99610555556,171.6,16.3076869526162
"Express Wash Lakeland , 5430 Florida Ave S , Lakeland , FL , 33813",27.9665149,-81.9645933,1408.8,163.2,0,0,0.3,3445.53184833333,168.7,16.5567942959802
"FASTLANE EXPRESS CAR WASH , 924 E 30th Ave , Hutchinson , KS , 67502",38.087,-97.9111,742.96,82.4,23.555,15.7,77.3,3425.84969361111,111.2,22.8245225690546
"FLAVO_N.Hwy27 , 1101 US-27 , Avon Park , FL , 33825",27.608686,-81.515066,1413.31,161.2,0,0,0.1,3490.14868861111,167.1,16.5148988696759
"FLLAK_Hwy27 , 23461 US-27 , Lake Wales , FL , 33859",27.9519851,-81.6185727,1433.57,160.8,0,0,0.2,3460.55901138889,169.5,17.0649643685905
"Fairborn Car Wash , 1052 Kauffman Ave , Fairborn , OH , 45324",39.8098171,-84.0258805,1136.97,132.8,44.429,29.3,88.6,2963.77410888889,141.7,18.1884257803728
"Fairhope , 20310 AL-181 , Fairhope , AL , 36532",30.521774,-87.8517334,1665.16,146.8,0.119,0.2,3.1,3395.59406916667,166.6,18.9740449883973
"Fast Pass Car Wash , 638 North H Street , Lompoc , CA , 93436",34.6486028,-120.4570624,396.9,41.3,0.154,0.3,0,3734.52045,177.6,19.9126097761809
"Fenton , 3709 Owen Rd , Fenton , MI , 48430",42.7891069,-83.7442545,930.07,131.7,86.912,55.9,114.4,2830.62052611111,132.8,18.8907433191107
"Fernandina Beach , 474339 SR 200 , Fernandina Beach , FL , 32034",30.61808,-81.514613,1336.05,150.9,0,0,1.8,3418.68090472222,179.8,18.2580256755745
"Fine N Shine , 1304 TX-121 , Bonham , TX , 75418",33.5867548,-96.1921253,1267.82,106.7,3.892,3.4,22.2,3222.55494194444,129.5,19.1335127629314
"Five Star Boone , 1200 Blowing Rock Rd , Boone , NC , 28607",36.2034723,-81.6668446,1541.77,158.5,46.823,24.8,76.9,3205.62275388889,158.5,17.0143725578262
"Five Star Statesville , 117 Turnersburg Hwy , Statesville , NC , 28625",35.8085295,-80.8764773,1191.59,120,14.504,6,45.8,3182.43798722222,137.4,14.125646455573
