Company Name,Car wash name,matches
Whistle Express Car Wash,#26 WEISS GUYS EXPRESS,0
Mister Car Wash,#27 WEISS GUYS EXPRESS,0
Tidal Wave Auto Spa,#28 WEISS GUYS EXPRESS,0
ZIPS Car Wash,*** StoneWash *** Car Care Center,0
Quick Quack Express Car Wash,1287 DEER PARK CAR WASH,0
Club Car Wash,330 S. Broadway Lawrence,0
Tommy�s Express Car Wash,360 Car Wash,0
Spotless Brands,4th u0026 Douglas,0
GO Car Wash,A-KEY CAR WASH,0
Mammoth Holdings LLC,AGGIELAND EXPRESS #2,0
WhiteWater Express Car Wash,AGGIELAND EXPRESS,0
ModWash,ALL STAR CAR WASH,0
Express Wash Concepts,ALOHA CAR WASH,0
Super Star Car Wash,AMERICAN CAR WASH,0
Autobell Car Wash,AUTO WASH EXPRESS,0
LUV Car Wash,Abercorn,0
Summit Wash Holdings,Adore Car Wash,0
True Blue Car Wash,Alabaster Wash and Wax,0
Splash Car Wash,Aladdin Car Wash,0
Caliber Car Wash,Alameda,0
BlueWave Express Car Wash,Alamosa,0
El Car Wash,All American Big Spring,0
Splash in ECO Car Wash,All American Boerne,0
Golden Nozzle Car Wash,All American Bulverde,0
Champion Xpress Carwash,All American Car Wash,1
Crew Carwash,All American Dezavala,0
Sam's Xpress Car Wash,All American Kitty Hawk,0
Jax Kar Wash,All American Ou0027Connor,0
Terrible Herbst,All American Vance Jackson,0
Big Dan's Car Wash,All Washed Up Canonsburg,0
Mr. Clean Car Wash,All Washed Up Dubois,0
Raceway Express Car Wash,All Washed Up Harmar,0
Sparkling Image Car Wash,All Washed Up Johnstown,0
Wash N' Roll,All Washed Up Munhall,0
Rich's Car Wash,All Washed Up Uniontown,0
Mike's Car Wash,Aloha Car Wash Bothell,0
Surf Thru Express Car Wash,Aloha Car Wash Woodinville,0
Watershed Carwash,Alpine Express,0
WetGo Car Wash,Alpine Wash,0
Delta Sonic,Alton Town Center,0
The Wash Tub,Amaranth,0
Gas N Wash,American Pride Garner,0
Hurricane Express Wash,American Pride Glenwood,0
Brown Bear Car Wash,American Pride Newbern,0
Waterway Carwash,American Pride Six Forks,0
Hoffman Car Wash,American Pride Smithfield,0
Quick N Clean,Annau0027s Car Wash,0
ClearWater Express Wash,Apple Wu0026L,0
Thoroughbred Express Auto Wash,Aqua Blue,0
Trademark Car Wash,Aqua Blue Duluth,0
Rocket Carwash,Aqua Breeze Car Wash,0
Soapy Joe�s Car Wash,Aqua Bubble Car Wash,0
Wash Masters Car Wash,Arco Wash,0
Washville Car Wash,Atlantic Blvd,0
Fast 5 Xpress Car Wash,Atlantic Express,0
Glide XPRESS Car Wash,Auto Paradise Car Wash,0
Prestige Car Wash,Auto Suds Express West,0
Ultra Clean Express,AutoBrite Express,0
Flagstop Car Wash,Autobahn Auto Care Center,0
Mighty Wash,Autobahn Express,0
Mr. Magic Car Wash,Autosoak,0
ScrubaDub Auto Wash Centers,Autosport Car Wash,0
Splash Car Wash & Oil Change,Avatar,0
Woodie's Wash Shack,Aztec,0
WOW Carwash,B3 Car Wash,0
Carnation Auto Spa,BBCW,0
Dirty Dog�s Car Wash,BDPu0027s Kwapa Car Wash,0
Tagg-N-Go,BELMONT CAR WASH,0
Drive & Shine Car Wash,BIG STEVES CAR WASH,0
Flash Car Wash,BUCKEYE CAR WASH,0
Sgt. Clean�s Car Wash,Balboa,0
TruShine Car Wash,Bamboo Carwash,0
Francis & Sons Car Wash,Baymeadows,0
Fuller's Car Wash,Beach u0026 Hodges,0
Shiny Shell Car Wash,Beach Bum Express,0
Washman Car Washes,Bella Stone Car Wash,0
Bubble Down Car Wash,Benton - Congo Rd,0
Elephant Super Car Wash,Bentonville - S Walton Blvd,0
Kaady Car Wash,Bentonville - SW Regional Airport Rd,0
Ronny's Car Wash,Berwick,0
Big Peach Car Wash,Big Danu0027s Acworth,0
Bliss Car Wash,Big Danu0027s Albany,0
Buddy Bear Car Wash,Big Danu0027s Bradenton 14th St,0
Fast Eddie's Car Wash & Oil Change,Big Danu0027s Bradenton 301,0
Gate Express Car Wash,Big Danu0027s Columbia,0
Zax Auto Wash,Big Danu0027s Crystal River,0
Haffner's,Big Danu0027s Dale Mabry,0
Rainforest Carwash & Oil Change,Big Danu0027s Decatur,0
Shammy Shine Car Washes,Big Danu0027s Fairburn,0
Car Spa,Big Danu0027s Hiram,0
Mach-1 Express Wash,Big Danu0027s John Young Pkwy,0
Ridi Stores,Big Danu0027s Lady Lake,0
Rocky Mountain Car Wash,Big Danu0027s Lakewood Ranch,0
Breeze Thru Car Wash,Big Danu0027s OBT,0
Carriage House Car Wash,Big Danu0027s Pinellas Park,0
EDGE Express Car Wash,Big Danu0027s Rome,0
Metro Express Car Wash,Big Danu0027s Tarpon Springs,0
Pelican Pointe Car Wash,Big Danu0027s Toccoa,0
The Auto Spa,Big Danu0027s Woodstock,0
Valet Auto Wash,Big Danu0027s Woodstock 2,0
All American Car Wash,Big DanÃ¢â‚¬â„¢s Bradenton,0
Charlie�s Car Wash,Big Kahuna CW,0
iShine Express Car Wash & Detail,Big Peach Conyers,0
Jacksons,Big Peach Forsyth,0
Speedy Stop Car Wash,Big Peach Gray Hwy,0
Team Car Wash,Big Peach Griffin,0
Wash-Rite Express Car Wash,Big Peach Hardeman,0
WashU Car Wash,Big Peach Jackson,0
White Horse Auto Wash,Big Peach Napier,0
Fast Splash Car Wash,Big Peach Ola,0
Hang 10 Car Wash,Big Peach Tallahassee,0
Raindrop Car Wash,Big River Selma,0
RocketFast Car Wash,Big River Troy,0
Super Clean Car Wash,Big Sammyu0027s Car Wash Maple Shade,0
Time To Shine Car Wash,Big Sammyu0027s Car Wash Marlton,0
WashX Car Wash,Blanding u0026 Hyde,0
Xtreme Auto Wash,Blanding,0
7 Flags Car Wash,Blast Car Wash,0
Cheetah Clean Auto Wash,Blu Palm Express,0
Ducky's Car Wash,Blu Wave Express Wash,0
Groove Car Wash,Bluu0027s Flex Serve Car Wash,0
Mr Wash Car Wash,BluWave Car Wash,0
Red Carpet Car Wash,Blue Cow Car Wash,0
Scrub-a-Dub,Blue Diamond,0
Shine Time Super Wash,Blue Iguana Chestnut,0
Tsunami Express,Blue Iguana East Kearney,0
Wash Factory Car Wash,Blue Iguana S. Campbell,0
Xpress Car Wash,Blue Iguana South Fremont,0
Blue Penguin Car Wash,Blue Iguana Sunshine,0
BriteworX Car Washery,Blue Iguana West Kearney,0
Clean Sweep Car Wash,Blue Jay Car Wash,0
Cloud 10 Smartwash,Blue Penguin Douglasville,0
Everclean Car Wash,Blue Penguin Griffin,0
Scenic Suds Car Wash,Blue Penguin Marietta,0
Scrubby�s Car Wash,Blue Rhino Car Wash,0
Skweeky Kleen Car Wash,Blue Sky Englewood,0
SpeedWash Car Wash,BlueWave Alamo,0
Suds Deluxe Car Wash,BlueWave Alvin,0
WashGuys Car Wash,BlueWave Barker Cypress,0
Auto Spa Car Wash (WA),BlueWave Beaumont,0
Benny�s Car Wash,BlueWave Bibb,0
Driven Car Wash,BlueWave Brownsville,0
Fabulous Freddy�s Car Wash,BlueWave Brownsville 2,0
Jet Splash Car Wash,BlueWave Cibolo,0
Radiant Express Car Wash,BlueWave Cinco Ranch,0
Velocity Car Wash,BlueWave Conroe,0
Auto Spa LA,BlueWave Del Rio,0
Clearwave Car Wash,BlueWave Edinburg 2,0
Ocean Blue Car Wash,BlueWave Eldridge,0
Snap Clean Car Wash,BlueWave FM2920,0
Speedwash,BlueWave Fry,0
Sud Stop Car Wash,BlueWave Groves,0
Ace Auto Wash,BlueWave Harlingen,0
BlueBird Express Car Wash,BlueWave Humble,0
Dream Clean Car Wash,BlueWave Jones,0
H2Go Car Wash,BlueWave Katy,0
Pony Express Carwash,BlueWave Laredo,0
Washtopia Car Wash,BlueWave League City,0
American Pride Xpress Carwash,BlueWave Livingston,0
Canton Car Wash,BlueWave Long Point,0
Endless Clean Car Wash,BlueWave Lumberton,0
Mr. Sparkle Car Wash,BlueWave Magnolia,0
Mr. Splash Car Wash,BlueWave McAllen Nolana,0
Pete's Express Car Wash,BlueWave McAllen Trenton,0
RaceWash,BlueWave Mission,0
Screaming Eagle  Express Car Wash,BlueWave Monte Cristo,0
Shur-Kleen Car Wash,BlueWave Montgomery,0
Spin Car Wash,BlueWave Penitas,0
Supershine Xpress Carwash,BlueWave Pharr,0
5 Minute Express Car Wash,BlueWave Reading,0
Cadillac Express Car Wash,BlueWave Rio Grande,0
Fast Freddy�s Car Wash,BlueWave San Antonio,0
FullSpeed Automotive,BlueWave San Juan,0
Magic Brush Car Wash,BlueWave San Rafael,0
Soapy Noble Car Wash,BlueWave Sienna,0
Waves Express Car Wash,BlueWave Southmore,0
Four Seasons Car Wash,BlueWave Spencer,0
,BlueWave Sugar Pine,0
,BlueWave Weslaco,0
,BlueWave Wesley,0
,Bobbyu0027s Car Wash,0
,Brickyard Car Wash,0
,Bridge St,0
,Bridge Street Lowell,0
,Broad and Lehigh,0
,Broad-Reed,0
,Brookhurst Express Car Wash,0
,Brooksville,0
,Bryant - N Reynolds Rd,0
,Bubbas Express Car Wash,0
,Bubble Bay,0
,Bubble Down Brandon,0
,Bubble Down North Tampa,0
,Bubble Down Riverview,0
,Bubble Down Wesley Chapel,0
,Bubble Tunnel Car Wash,0
,Buena Vista,0
,Buff It #2,0
,Buff It Auto Wash,0
,Buggy Bath,0
,Bulldog Car Wash,0
,Burlington,0
,Busteru0027s Car Wash,0
,Bustleton Car Wash,0
,CHAGRIN AUTO SPA,0
,CLOSTER CAR WASH,0
,COLORADO AUTO WASH,0
,CR210,0
,Cabot - Willie Ray Dr,0
,Cadillac Express Bingle Rd,0
,Cadillac Express Post Oak Rd,0
,Cadillac Express 249,0
,Cadillac Express Cullen,0
,Cadillac Express Little York,0
,Cajun Clean,0
,Cajun Clean Gautier,0
,Calhoun,0
,Caliber Snellville,0
,Caliber - Smyrna,0
,Caliber Fort Walton Beach - Eglin,0
,Caliber Inverness,0
,Canon City,0
,Canton Auto Wash,0
,Capitol Car Wash,0
,Car Wash Cafe,0
,Car Wash Mt Washington,0
,Car Wash Palace,0
,Carisma Car Wash,0
,Carlu0027s Wash,0
,Carmel Car Wash 2,0
,Carmel Car Wash 3,0
,Carmel Car Wash 4,0
,Carmel Mtn Ranch,0
,Carriage Wash,0
,Carroll Clean Owings Mills,0
,Cartersville,0
,Cartersville,0
,Carusou0027s Car Care,0
,Castaway Car Wash,0
,Cave Springs,0
,Cedar Hill,0
,Cedar Place,0
,Cedar Town,0
,Chamblee,0
,Champion - Old Hickory,0
,Champion CW - HENDER,0
,Champion CW - PLVIEW,0
,Champion Car Wash,0
,Champions CW,0
,Champs Car Wash,0
,Charleeu0027s Car Wash,0
,Chemical Guys Car Wash,0
,Chestnut St,0
,Chickering Road N. Andover,0
,Clarksville,0
,Classic Auto Wash,0
,Classic Touch Car Wash,0
,ClassicCarWashRI.com,0
,Classie Express Wash,0
,Clean Car Wash,0
,Clean N Shine,0
,Clean Wave Express Carwash,0
,Clean Wheels,0
,ClearWater - Burleson,0
,ClearWater - Cleburne,0
,ClearWater - Conroe,0
,ClearWater - Conroe 105,0
,ClearWater - Cypress,0
,ClearWater - Houston 249,0
,ClearWater - Katy,0
,ClearWater - Magnolia,0
,ClearWater - McKinney,0
,ClearWater - Tamina,0
,ClearWater - Terrell,0
,ClearWater - Westgreen,0
,ClearWater - Willis East,0
,ClearWater - Woodforest,0
,Clearview Car Wash East Tawas,0
,Clearview Car Wash Oscoda,0
,Clearview Car Wash Ripley,0
,Clearview Car Wash State Street,0
,Cliffu0027s Car Wash #2,0
,Cliffu0027s Car Wash,0
,Cliffu0027s Harrison,0
,Coastal Car Wash,0
,Coastline Express,0
,Collins,0
,Collins,0
,Colonial Express,0
,Columbus,0
,Complete Auto Detail,0
,Conway - Old Morrilton Hwy,0
,Cool Clean Car Wash,0
,Cool River Express Car Wash,0
,Coors,0
,Copper Gate,0
,Coral Springs Car Wash,0
,Coralville,0
,Corinth,0
,Costa Verde,0
,Covington,0
,Cranston Car Wash,1
,Crown America,0
,Cruiseru0027s Corner Car Wash,0
,Crystal Clean Auto Spa,0
,DAVID CHEVROLET,0
,DONu0027S EXPRESS CARWASH,0
,Dallas Kwik-Mart,0
,Damon,0
,Davieu0027s Auto Spa,0
,Daybreak Market,0
,Deep Clean Car Wash,0
,Del Mar Highlands,0
,Delta,0
,Detricks 544,0
,Detricks Conway,0
,Detricks Glenforest,0
,Diamond Express,0
,Dickerson Pike,0
,Dickson City,0
,Dickys Bluffton,0
,Dickys Decatur,0
,Dickys Huntington,0
,Dino Dash Dixie,0
,Dino Dash Riverside,0
,Dirty Daveu0027s Car Wash,0
,Dix Hill Car Wash,0
,Dog House Auto Spa,0
,Dolphin Auto Spa,0
,Dolphin Xpress,0
,Douglasville,0
,Drip Auto Spa,0
,Drive Thru Express,0
,Druid Hills,0
,Dunn,0
,Durango,0
,Durbin,0
,Durham,0
,E. Plaza,0
,ENGLEWOOD CAR WASH,0
,EXPRESS AUTO WASH,0
,EXPRESSWAY 55,0
,East Central,0
,Eastlake,0
,Edge Express Cary,0
,Edge Express Dumfries,0
,Edge Express Garner,0
,Edge Express Morrisville,0
,Edge Express Rock Hill,0
,Edge Express Shelby,0
,Edge Express Shelby 2,0
,Edge Express Stafford,0
,Edgewood,0
,El Centro,0
,El Paso Alameda,0
,El Paso Gateway,0
,Elks Edge,0
,Emerson,0
,Encinitas Car Wash,0
,Escondido,0
,Espanola,0
,Evanston Car Wash,0
,Evergreen Car Wash,0
,Express Auto Wash Coquitlam,0
,Express Auto Wash Surrey,0
,Express Car Wash Dalby,0
,Express Car Wash Fillmore,0
,Express Car Wash Republic,0
,Express On Vaughn,0
,Express Pro Carwash Auburn,0
,Express Tunnel Carwash,0
,Express Wash Central,0
,Express Wash Kissimmee,0
,Express Wash Lakeland,0
,Extreme Express,0
,FASTLANE EXPRESS CAR WASH,0
,FLAVO_N.Hwy27,0
,FLKIS_W.IrloBronson,0
,FLLAK_Hwy27,0
,FLORL_Narcoossee,0
,FLOVI_Alafaya,0
,FLWIN_W.Colonial,0
,Fairborn Car Wash,0
,Fairhope,0
,Falcon,0
,Fast Lap Car Wash,0
,Fast N Furious,0
,Fast Pass Car Wash,0
,Fast Trac,0
,Fenton,0
,Fernandina Beach,0
,Fine N Shine,0
,Firehose Car Wash,0
,Five Star Boone,0
,Five Star Gate City,0
,Five Star Statesville,0
,Flawless Auto Bath Inc,0
,Fleming Island,0
,Flex Wash,0
,Florence,0
,Floris Car Wash,0
,Floris Car Wash Econ,0
,FoamWorks Brunswick,0
,FoamWorks Cordele,0
,FoamWorks Hartley Bridge,0
,FoamWorks Lithia Springs,0
,FoamWorks Riverside,0
,FoamWorks Thomaston,0
,FoamWorks Vidalia,0
,Foothills Car Wash,0
,Ford CarWash,0
,Forest City,0
,Fort Lauderdale,0
,Fort Smith - Highway 71,0
,Fort Smith - Massard Rd,0
,Frankieu0027s Car Wash Gilbert,0
,Fresh Wash - Braselton,0
,Fresh Wash - Gainesville,0
,Ft Lauderdale,0
,Ft Walton -Beal,0
,Ft. Lupton,0
,Fullerton Car Wash,0
,Fusion Express CarWash,0
,GAWOO_Eagle,0
,Galesburg,0
,Gallo Car Wash,0
,Gallup 49,0
,Gallup 66,0
,Gardendale,0
,Georgetown,0
,Glacier Express 24th St,0
,Glacier Express King Ave,0
,Gloss Car Wash,0
,Go Clean Car Wash,0
,Go Clean Car Wash Eufaula,0
,Go Clean Mobile City,0
,Go Clean Monroe,0
,Go Clean Pensacola,0
,Go Green N Clean,0
,Googie Anaheim,0
,Googie Whittier,0
,Grand Prix CW,0
,Grand Prix Express,0
,Granite Falls,0
,Grease Monkey 1116,0
,Great North Auto Wash,0
,Green Ocean Car Wash,0
,Greenbrier - S Broadview St,0
,Greenway Auto Wash,0
,Grime Scene,0
,Gwatzilla Car Wash,0
,H2GLO CAR WASH,0
,H2O AUTO SPA,0
,HAMPTON AUTO WASH,0
,HIPPO CAR WASH,0
,HONDA WORLD,0
,Hall of Fame Carwash,0
,Hampstead,0
,Happy Car Wash,0
,Happy Car Wash Albany,0
,Harper,0
,Haverhill Street Lawrence,0
,Hercules/Elite Care Auto,0
,Hernando,0
,Heroes Car Wash Asheville,0
,Heroes Car Wash Taylors 2900,0
,Heroes Cary,0
,Heroes Express 6050,0
,Heroes Express Pleasantburg,0
,Heroes Express Salisbury,0
,Heroes Express Woodruff,0
,Hitech CP,0
,Homestead,0
,Horn Lake,0
,Howell 2,0
,Huntsville,0
,Huntsville,0
,Huzzyu0027s Car Wash,0
,I-91 Express Wash,0
,IKO Car Wash,0
,Imperial Car Wash,0
,In and Out,0
,In-N-Out Car Wash,0
,Indian Harbour,0
,Indianola,0
,International Auto Spa,0
,International Golf,0
,Intracoastal Car Wash,0
,Irvine,0
,JC AUTO WASH,0
,JJ Express Car Wash,0
,JJu0027s Car Wash Dickinson,0
,JJu0027s Car Wash Friendswood,0
,JJu0027s Car Wash League City,0
,Jallo - Land O Lakes,0
,Jallo - Tarpon Springs,0
,Jammin Car Wash,0
,Jet Express Carwash,0
,Jet Express Franklin,0
,Jets Car Wash II,0
,Jim Wood Washland,0
,Jimmy Suds Car Wash,0
,Joeu0027s Premium Car Wash,0
,Johnu0027s Auto Spa Mishawaka,0
,Johnu0027s Auto Spa Nappanee,0
,Jones,0
,Juan Tabo,0
,Jules Car Wash Brandon,0
,Jules Car Wash Fish Hawk,0
,Jules Car Wash Riverview,0
,Jungerman,0
,Jupiter Galaxy Car Wash,0
,KUHNSVILLE CAR WASH,0
,KWIK CAR WASH,0
,KYLOU_CaneRun,0
,KYWIN_Codella,0
,Kennesaw,0
,Kernan,0
,Kind Car Wash,0
,King Street Littleton,0
,Kingu0027s Car Wash,0
,Kiwi Car Wash Vero,0
,Klemm Express,0
,Klemm Express Inbay,0
,Koala Car Wash,0
,LA Xpress Car Wash,1
,LEXINGTON AUTO SPA,0
,LINDSTROM CAR WASH,0
,LOUISVILLE,0
,Lafayette,0
,Lake Charles Toyota,0
,Lake Effect,0
,Lake Havasu Express,0
,Lake Mead,0
,Lake Wales,0
,Lakes Edge,0
,Lakeside Auto Wash,0
,Lancaster Car Wash,0
,Las Vegas,0
,Lathrop Arco Car Wash,0
,Launch Car Wash #2,0
,Launch Car Wash,0
,Legacy Express Wash,0
,Lightning Express Car Wash,0
,Lightning Fast,0
,Liquid Sunshine,0
,Little Rock - Geyer Springs Rd,0
,Local Car Wash,0
,Lomas,0
,Lonestar Suds 34th,0
,Lonestar Suds Express Car Wash 2,0
,Long Street,0
,Los Lunas,0
,Loveland CO,0
,Lowell Road Hudson,0
,MEGA CAR WASH,0
,MENDHAM CAR WASH,0
,MONKEY SHINE,0
,MR. SUDS HANDWASH,0
,MURRAY AUTO SPA,0
,MZX SUPERIOR CAR WASH u0026 LUBE,0
,Mableton,0
,Madison,0
,Magic City Car Wash,0
,Magic Hillsboro,0
,Magnus Car Wash,0
,Main Street Tewksbury,0
,Maricamp,0
,Marshalltown,0
,Maumelle - Audubon Dr,0
,Max Leggett,0
,McKinney,0
,Mega Shine Wash,0
,Melbourne East,0
,Menaul,0
,Menifee,0
,Miami Executive Car Wash,0
,Mid River,0
,Mint Carwash,0
,Mint Express Houston,0
,Mint Express Katy,0
,Mistic Express Car Wash,0
,Mobyu0027s Car Wash,0
,Mojo Xpress Hopkins Center,0
,Mojo Xpress Wash,0
,Monkey Shine Car Wash,0
,Monster Car wash AZ,0
,Monster Express Car Wash,0
,Monster Wash,0
,Montana,0
,Montgomeryville,0
,Moreno Valley,0
,Morrilton - E Harding St,0
,Mountain Edge,0
,Mountain Express #1,0
,Mountain Express #2,0
,Moyka 441,0
,Mr Clean Adairsville,0
,Mr Clean Blairsville,0
,Mr Clean Canton,0
,Mr Clean Cumming,0
,Mr Clean Dahlonega,0
,Mr Clean DeBary,0
,Mr Clean Duluth,0
,Mr Clean Holcomb,0
,Mr Clean Jimmy Carter,0
,Mr Clean Leesburg,0
,Mr Clean Loganville,0
,Mr Clean Ocala,0
,Mr Clean Orange Park,0
,Mr Clean Oxford,0
,Mr Clean Pleasant Hill,0
,Mr Clean Shallowford,0
,Mr Clean Sharpsburg,0
,Mr D Car Wash,0
,Mr. Bu0027s Car Wash - Sumiton,0
,Mr. Suds Car Wash,0
,My Wash,0
,NCGOL_N.Berkeley,0
,NCHOL_GrandHill,0
,Naples Car Wash,0
,Nellis,0
,Neptune Beach,0
,New Day Car Wash,0
,New Shackle Island,0
,Newport Auto Spa,0
,Nocatee,0
,Norco Auto Spa,0
,North Deland,0
,North Lauderdale,0
,North Lauderdale,0
,North Little Rock - JFK BLVD,0
,North Port CW,0
,OBXpress,0
,OCTOPUS CAR WASH,0
,Oakleaf,0
,Oasis Auto Spa,0
,Ocala -Silver Springs,0
,Ocala Pine Ave,0
,Ocean Express,0
,Ocean State Car Wash,0
,Octopus Express,0
,Ogeechee,0
,Old St Augustine,0
,Old Town,0
,Ollie Wash Henderson,0
,Ollie Wash Owensboro,0
,Orange City,0
,Orbit Car Wash,0
,Orca Express,0
,Ottou0027s Express Car Wash,0
,Ottou0027s Freeport,0
,Ottou0027s Santa Rosa,0
,Ottumwa,0
,Oxford,0
,PASTIME AUTO WASH,0
,PAULu0027S HINGHAM CAR WASH,0
,PECW,0
,PV Car Wash,0
,Palatka,0
,Palm Ave,0
,Palm Coast,0
,Papa Bear Anderson,0
,Papa Bear Anderson 2,0
,Papa Bear Easley,0
,Papa Bear Greenville,0
,Paradise 2,0
,Paradise Falls Carwash,0
,Parker Street Lawrence,0
,Passyunk Ave,0
,Patu0027s NU Star - Winter Haven,0
,Patriot Petroleum,0
,Peachy Clean,0
,Pebble Hills,0
,Pelican Auto Wash,0
,Pelican Car Wash,0
,Pennsauken,0
,Pensacola - Navy,0
,Peoria Ave,0
,Peppyu0027s Car Wash,0
,Peppyu0027s Car Wash Union City,0
,Phenix City,0
,Pirates Cove Goldsboro,0
,Plaistow Road Haverhill,0
,Plantation Island,0
,Platinum Auto Spa,0
,Pleasant Valley Street Methuen,0
,Polished Peach Car Wash,0
,Ponte Vedra,0
,Pooler,0
,Port Richey,0
,Precision Xpress CarWash,0
,Presidential Car Wash #1,0
,Presidential Car Wash #2,0
,Prestige Auto Spa,0
,Prestige Car Wash,1
,Presto Car Wash,0
,Pristine Car Wash,0
,Pueblo,0
,Pure Car Wash,0
